Wikidata ID	Wikipedia URL	Entity label	Object count	Predicted count	CRF prob	Mention type	Text evidence
Q461370	https://en.wikipedia.org/wiki?curid=1984300	Pauline%20Frederick	5	5	0.224346	ordinal	Frederick married for the [fifth] marriage was to an ailing United States Army colonel , Joseph A. Marmon , commander of the 16th Infantry Regiment , in January 1934 .
Q555465	https://en.wikipedia.org/wiki?curid=10440	Emperor%20Go-K%C5%8Dgon	1	2	0.107233	ordinal	He was the [second] son of the Northern Pretender Emperor Kōgon , and brother of his predecessor , Emperor Sukō .
Q167250	https://en.wikipedia.org/wiki?curid=195241	Albert%2C%20King%20of%20Sweden	2	2	0.107273	ordinal	He was the [second] son of Duke Albert II of Mecklenburg and Euphemia Eriksdotter , the daughter of duke Erik Magnusson of Södermanland and the sister of King Magnus IV of Sweden .
Q5374572	https://en.wikipedia.org/wiki?curid=35389316	Empress%20Ma%20%28Southern%20Han%29	1	1	0.152671	article	In 913 , Liu Yan , who was then formally a Later Liang vassal -LRB- as Ma Yin was as well -RRB- as the military governor -LRB- `` Jiedushi '' -RRB- of Qinghai Circuit -LRB- 清海 , headquartered in modern Guangzhou , Guangdong -RRB- , sent emissaries to Ma Yin , asking to marry [a] daughter of his .
Q178007	https://en.wikipedia.org/wiki?curid=655706	Frederick%20I%2C%20Duke%20of%20Lorraine	1	2	0.107273	ordinal	He was the [second] son of Matthias I and Judith , daughter of Frederick II , Duke of Swabia .
Q5701823	https://en.wikipedia.org/wiki?curid=8655371	Helen%20Armstrong%20%28violinist%29	2	1	0.102316	ordinal	Ms. Armstrong was widowed by her [first] husband , Alan Cohen in 1978 .
Q380373	https://en.wikipedia.org/wiki?curid=871337	Mikhail%20of%20Tver	1	2	0.107267	ordinal	Mikhail Yaroslavich was the [second] son of Yaroslav III -LRB- Yaroslav Yaroslavich -RRB- , the younger brother of Aleksandr Nevsky , and succeeded him as Prince of Tver in 1285 .
Q5760399	https://en.wikipedia.org/wiki?curid=5156880	Hikari%20%C5%8Cta	1	2	0.65576	numterm	He is most famous as one half of the `` owarai '' [duo] Bakushō Mondai along with Yūji Tanaka , where he acts as the `` boke '' .
Q235211	https://en.wikipedia.org/wiki?curid=225468	Marsha%20Mason	2	1	0.115646	article	In the late 1990s , Mason sold herbs wholesale to companies both locally and regionally before starting [a] line of wellness and bath and body products called `` Resting in the River '' .
Q7383270	https://en.wikipedia.org/wiki?curid=1967562	Ruth%20Williams%20Khama	1	2	0.211455	numterm	Their first son Ian was born in England in 1953 , and [twins] Anthony and Tshekedi were born in Bechuanaland in 1958 -LRB- Anthony was named after Tony Benn , then known as Anthony Wedgwood Benn , who supported their return from exile in the early 1950s -RRB- .
Q448525	https://en.wikipedia.org/wiki?curid=19370369	Rita%20Montaner	3	1	0.111436	article	From the start , she was [a] potential star : her first press notice came in 1912 , her first press photograph in 1913 , and in 1915 she received two bronze medals for piano .
Q57161	https://en.wikipedia.org/wiki?curid=38802	Louis%20IV%2C%20Holy%20Roman%20Emperor	2	1	0.212231	ordinal	In 1342 Louis also acquired Tyrol for the Wittelsbach by voiding the [first] marriage of Margarete Maultasch with John Henry of Bohemia and marrying her to his own son Louis V , thus alienating the House of Luxemburg even more .
Q677902	https://en.wikipedia.org/wiki?curid=334479	William%20Wedgwood%20Benn%2C%201st%20Viscount%20Stansgate	1	2	0.107267	ordinal	Born in Hackney , Benn was the [second] son of Sir John Benn , 1st Baronet .
Q1769	https://en.wikipedia.org/wiki?curid=1600	Severus%20Alexander	3	3	0.240702	cardinal	Alexander was married [three] times .
Q16065322	https://en.wikipedia.org/wiki?curid=38988547	William%20Gibbs%20%28businessman%29	1	4	0.107265	ordinal	Antony , who had been born and raised in Clyst St Mary , Devon , was the [fourth] son of Dr. George Abraham Gibbs -LRB- 1718 -- 1794 -RRB- , who rose to be Chief Surgeon at the Royal Devon and Exeter Hospital .
Q206191	https://en.wikipedia.org/wiki?curid=102745	Abigail%20Adams	1	1	0.10375	ordinal	The First Spouse Program under the Presidential $ 1 Coin Program authorizes the United States Mint to issue half-ounce $ 10 gold coins and bronze medal duplicates to honor the [first] spouses of the United States .
Q92759	https://en.wikipedia.org/wiki?curid=172395	Larry%20Ellison	4	4	0.104276	cardinal	Ellison has been married and divorced [four] times .
Q435278	https://en.wikipedia.org/wiki?curid=92436	Robert%20Crumb	2	2	0.264942	cardinal	Crumb has been married [2] times : to Dana Morgan in 1964 who gave birth to their son Jesse in 1965 .
Q191966	https://en.wikipedia.org/wiki?curid=430144	Gene%20Wilder	4	3	0.1377	ordinal	His [third] wife was actress Gilda Radner , with whom he starred in three films , the last two of which he also directed .
Q159778	https://en.wikipedia.org/wiki?curid=62666	Michelle%20Pfeiffer	2	2	0.112558	numterm	The first film the [duo] produced was Love Field '' -LRB- 1992 -RRB- .
Q319871	https://en.wikipedia.org/wiki?curid=37242	Booker%20T.%20Washington	3	1	0.107678	ordinal	His [first] wife Fannie N. Smith was from Malden , West Virginia , the same Kanawha River Valley town where Washington had lived from age nine to sixteen .
Q1545	https://en.wikipedia.org/wiki?curid=85226	Cyndi%20Lauper	1	2	0.110354	cardinal	She appeared [2] times on the cover of `` People '' , and was named a `` Ms. '' magazine Woman of the Year in 1985 .
Q177903	https://en.wikipedia.org/wiki?curid=29594	Stephen%20I%20of%20Hungary	1	1	0.121251	article	Emperor Conrad planned [a] marriage alliance with the Byzantine Empire and dispatched one of his advisors , Bishop Werner of Strasbourg , to Constantinople .
Q79025	https://en.wikipedia.org/wiki?curid=27884	Walter Scott	1	3	0.159052	ordinal	After their [third] son was born in 1801 , they moved to a spacious three-storey house built for Scott at 39 North Castle Street .
Q5577	https://en.wikipedia.org/wiki?curid=40112	Salvador Dalí	2	1	0.104356	article	In the television programme `` Dirty Dalí : A Private View '' broadcast on Channel 4 on June 3 , 2007 , art critic Brian Sewell described his acquaintance with Dalí in the late 1960s , which included lying down in the fetal position without trousers in the armpit of [a] figure of Christ and masturbating for Dalí , who pretended to take photos while fumbling in his own trousers .
Q215447	https://en.wikipedia.org/wiki?curid=1656784	CM%20Punk	1	2	0.131619	cardinal	He lost [two] subsequent rematches against The Undertaker on `` SmackDown '' and in a Fatal Four Way match at Bragging Rights also involving Batista and Rey Mysterio .
Q129006	https://en.wikipedia.org/wiki?curid=5766	Clement%20Attlee	1	1	0.24216	cardinal	In [an] early `` good-will '' gesture that was later heavily criticised , the Attlee Government allowed the Soviets access , under the terms of a 1946 UK-USSR Trade Agreement , to several Rolls-Royce Nene jet engines .
Q229276	https://en.wikipedia.org/wiki?curid=235309	Maureen%20O%27Hara	3	3	0.115495	ordinal	O'Hara married her [third] husband , Charles F. Blair , Jr. , 11 years her senior , on 12 March 1968 .
