Wikidata ID	Wikipedia URL	Entity label	Object count	Predicted count	CRF prob	Mention type	Text evidence
Q517791	https://en.wikipedia.org/wiki?curid=2385862	Margaret_Roper	5	5	0.222545	cardinal	They had [five] children : Elizabeth -LRB- 1523 -- 60 -RRB- , Margaret -LRB- 1526 -- 88 -RRB- , Thomas -LRB- 1533 -- 98 -RRB- , Mary -LRB- d. 1572 -RRB- , and Anthony -LRB- 1544 -- 1597 -RRB- .
Q60610	https://en.wikipedia.org/wiki?curid=13358437	Prince_Adalbert_of_Bavaria_(1828–1875)	5	5	0.222561	cardinal	They had [five] children :
Q61046	https://en.wikipedia.org/wiki?curid=715238	Richard_Courant	4	4	0.271402	cardinal	Richard and Nerina had [four] children : Ernest , a particle physicist and innovator in particle accelerators ; Gertrude -LRB- 1922-2014 -RRB- , a PhD biologist and wife of the mathematician Jürgen Moser -LRB- 1928 -- 1999 -RRB- ; Hans , a physicist who participated in the Manhattan Project ; and Leonore -LRB- known as `` Lori , '' 1928-2015 -RRB- , a professional violist and wife of the mathematician Jerome Berkowitz -LRB- 1928 -- 1998 -RRB- .
Q469830	https://en.wikipedia.org/wiki?curid=10035554	Gertrude_of_Sulzbach	2	2	0.164241	cardinal	From her marriage with Conrad III , Gertrude had [two] sons :
Q4708856	https://en.wikipedia.org/wiki?curid=8724320	Alauddin_al-Kahar	5	5	0.164241	cardinal	According to the relatively trustworthy chronicle `` Bustanus Salatin '' , Alauddin had [five] sons :
Q230045	https://en.wikipedia.org/wiki?curid=29774	Tiffani_Thiessen	2	2	0.222572	cardinal	She married actor Brady Smith on July 9 , 2005 , and they have [two] children : daughter Harper -LRB- born 2010 -RRB- and son Holt -LRB- born 2015 -RRB- .
Q85145	https://en.wikipedia.org/wiki?curid=28370615	Rudolph_Schildkraut	1	1	0.166157	article	Schildkraut was born in Constantinople , in the Ottoman Empire , to [a] Jewish family .
Q312325	https://en.wikipedia.org/wiki?curid=173245	Ferdinand_I_of_the_Two_Sicilies	17	3	0.210319	ordinal	Ferdinand was his parents ' [third] son , his elder brother Charles was expected to inherit Naples and Sicily .
Q71633	https://en.wikipedia.org/wiki?curid=7043308	Hanna_Neumann	5	5	0.114512	cardinal	They went on to have [five] children .
Q5549650	https://en.wikipedia.org/wiki?curid=2834383	Gerald_W._Abrams	2	2	0.222544	cardinal	They have [two] children : director-producer-screenwriter J. J. Abrams , and Tracy Rosen , a screenwriter who has written TV movies and for series television .
Q527146	https://en.wikipedia.org/wiki?curid=352817	Margaret_Forster	3	3	0.209721	cardinal	The couple had three children , [a] son and [two] daughters ; Caitlin Davies is an author and journalist .
Q4605	https://en.wikipedia.org/wiki?curid=44608	Sarah Bernhardt	1	1	0.169584	cardinal	He had abandoned his five daughters and [one] son with their stepmother by 1835 .
Q469701	https://en.wikipedia.org/wiki?curid=74775	Livia	2	3	0.207204	cardinal	Drusus was a trusted general and married Augustus 's favourite niece , Antonia Minor , and had [three] children : the popular general Germanicus , Livilla , and the future emperor Claudius .
Q55796	https://en.wikipedia.org/wiki?curid=167975	Peter Ustinov	4	1	0.127418	article	Ustinov 's great-grandfather Moritz Hall , [a] Jewish refugee from Kraków and later a Christian convert and collaborator of Swiss and German missionaries in Ethiopia , married into a German-Ethiopian family .
Q76428	https://en.wikipedia.org/wiki?curid=58237	Carl Philipp Emanuel Bach	3	5	0.115846	ordinal	Carl Philipp Emanuel Bach -LRB- 8 March 1714 -- 14 December 1788 -RRB- , also formerly spelled Karl Philipp Emmanuel Bach , was a German Classical period musician and composer , the [fifth] child and second -LRB- surviving -RRB- son of Johann Sebastian Bach and Maria Barbara Bach .
Q504	https://en.wikipedia.org/wiki?curid=44980	Émile Zola	2	1	0.188714	article	Alexandrine Zola had [a] child before she met Zola that she had given up , because she was unable to take care of it .
Q235250	https://en.wikipedia.org/wiki?curid=47397	Æthelflæd	1	1	0.171497	cardinal	Æthelred was much older than Æthelflæd and they had [one] known child , a daughter called Ælfwynn .
Q151164	https://en.wikipedia.org/wiki?curid=42691	André Malraux	3	2	0.164233	cardinal	Malraux and Josette had [two] sons : Pierre-Gauthier -LRB- 1940 -- 1961 -RRB- and Vincent -LRB- 1943 -- 1961 -RRB- .
Q45909	https://en.wikipedia.org/wiki?curid=170666	John Cale	1	1	0.140409	article	John Cale was born on 9 March 1942 in Garnant in the industrial Amman Valley of Wales to Will Cale , a coal miner , and Margaret Davies , [a] primary school teacher .
Q40640	https://en.wikipedia.org/wiki?curid=26181	Ray Bradbury	4	4	0.118701	cardinal	Bradbury was married to Marguerite McClure -LRB- January 16 , 1922 -- November 24 , 2003 -RRB- from 1947 until her death ; they had [four] daughters : Susan , Ramona , Bettina and Alexandra .
Q7346	https://en.wikipedia.org/wiki?curid=53536	John Coltrane	4	2	0.113804	numterm	In 1967 , Coltrane entered the studio several times ; though pieces with Sanders have surfaced -LRB- the unusual `` To Be '' , which features both men on flutes -RRB- , most of the recordings were either with the quartet minus Sanders -LRB- `` Expression '' and `` Stellar Regions '' -RRB- or as a [duo] with Ali .
Q133040	https://en.wikipedia.org/wiki?curid=148483	Alberto_Fujimori	4	4	0.139943	cardinal	`` Caretas '' also alleged that Fujimori 's mother declared having two children when she entered Peru ; Fujimori is the second of [four] children .
Q20875	https://en.wikipedia.org/wiki?curid=46721	Edward VII	6	2	0.114552	ordinal	He was the eldest son and [second] child of Queen Victoria and her husband -LRB- and first cousin -RRB- Prince Albert of Saxe-Coburg and Gotha .
Q40904	https://en.wikipedia.org/wiki?curid=33130	Werner Heisenberg	7	3	0.201288	cardinal	A follow-on paper was submitted for publication before the end of the year by all [three] authors .
Q42544	https://en.wikipedia.org/wiki?curid=30479	Thomas More	4	4	0.267534	cardinal	The couple had [four] children before Jane died in 1511 : Margaret , Elizabeth , Cicely , and John .
Q10501	https://en.wikipedia.org/wiki?curid=228615	Nigel_Mansell	3	2	0.265115	ordinal	Mansell achieved [second] place at the Belgian Grand Prix at Spa-Francorchamps , and followed this with his first victory in 72 starts at the European Grand Prix at Brands Hatch in England .
Q42511	https://en.wikipedia.org/wiki?curid=13459	H. G. Wells	4	1	0.13053	ordinal	The University 's Rare Book & Manuscript Library holds the largest collection of Wells manuscripts , correspondence , [first] editions and publications in the United States .
Q46096	https://en.wikipedia.org/wiki?curid=76370	Felix Mendelssohn	5	5	0.369003	cardinal	The couple had [five] children : Carl , Marie , Paul , Lili and Felix .
Q1276	https://en.wikipedia.org/wiki?curid=19965375	Leonard Cohen	2	2	0.164703	cardinal	Their relationship produced [two] children : a son , Adam -LRB- b. 1972 -RRB- , and a daughter , Lorca -LRB- b. 1974 -RRB- , named after poet Federico García Lorca .
Q25089	https://en.wikipedia.org/wiki?curid=32901	Woody Allen	4	1	0.15693	cardinal	After a long hiatus from the stage , Allen returned to the theatre in 1995 , with the one-act `` Central Park West '' , [an] installment in an evening of theatre known as `` Death Defying Acts '' that was also made up of new work by David Mamet and Elaine May .
Q57384	https://en.wikipedia.org/wiki?curid=33783	Wernher von Braun	3	3	0.297596	cardinal	He was the second of [three] sons .
Q49074	https://en.wikipedia.org/wiki?curid=16861	Kurt Vonnegut	7	3	0.122044	cardinal	After the war , Vonnegut married Jane Marie Cox , with whom he had [three] children .
Q9439	https://en.wikipedia.org/wiki?curid=47923	Queen Victoria	9	2	0.12113	cardinal	In 1818 he married Princess Victoria of Saxe-Coburg-Saalfeld , a widowed German princess with [two] children -- Carl -LRB- 1804 -- 1856 -RRB- and Feodora -LRB- 1807 -- 1872 -RRB- -- by her first marriage to the Prince of Leiningen .
Q23505	https://en.wikipedia.org/wiki?curid=11955	George H. W. Bush	6	6	0.361533	cardinal	Their marriage produced [six] children : George Walker Bush -LRB- born 1946 -RRB- , Pauline Robinson `` Robin '' Bush -LRB- 1949 -- 1953 , died of leukemia -RRB- , John Ellis `` Jeb '' Bush -LRB- born 1953 -RRB- , Neil Mallon Pierce Bush -LRB- born 1955 -RRB- , Marvin Pierce Bush -LRB- born 1956 -RRB- , and Dorothy Bush Koch -LRB- born 1959 -RRB- .
Q11571	https://en.wikipedia.org/wiki?curid=623737	Cristiano Ronaldo	1	1	0.149622	article	Ronaldo became a father on 17 June 2010 following the birth of [a] son .
Q35041	https://en.wikipedia.org/wiki?curid=33521	William_McKinley	2	1	0.204805	cardinal	Blanche K. Bruce , [an] African American who during Reconstruction had served as senator from Mississippi , received the post of register at the Treasury Department ; this post was traditionally given to an African American by Republican presidents .
Q8027	https://en.wikipedia.org/wiki?curid=20076	Martin Luther King Jr.	4	4	0.248932	cardinal	They became the parents of [four] children : Yolanda King -LRB- b. 1955 -RRB- , Martin Luther King III -LRB- b. 1957 -RRB- , Dexter Scott King -LRB- b. 1961 -RRB- , and Bernice King -LRB- b. 1963 -RRB- .
Q10520	https://en.wikipedia.org/wiki?curid=8618	David Beckham	4	4	0.271418	cardinal	David and Victoria Beckham have [four] children : sons Brooklyn Joseph -LRB- born 4 March 1999 in Westminster , London -RRB- , Romeo James -LRB- born 1 September 2002 in Westminster , London -RRB- , and Cruz David -LRB- born 20 February 2005 in Madrid , Spain ; the word '' `` cruz '' '' is Spanish for `` cross '' -RRB- ; and daughter Harper Seven -LRB- born 10 July 2011 , in Los Angeles , California -RRB- .
Q3044	https://en.wikipedia.org/wiki?curid=5314	Charlemagne	19	18	0.108193	cardinal	Charlemagne had [eighteen] children with eight of his ten known wives or concubines .
Q9554	https://en.wikipedia.org/wiki?curid=7567080	Martin Luther	6	6	0.198799	cardinal	Katharina bore [six] children : Hans -- June 1526 ; Elizabeth -- 10 December 1527 , who died within a few months ; Magdalene -- 1529 , who died in Luther 's arms in 1542 ; Martin -- 1531 ; Paul -- January 1533 ; and Margaret -- 1534 ; and she helped the couple earn a living by farming and taking in boarders .
Q34969	https://en.wikipedia.org/wiki?curid=3986	Benjamin Franklin	3	3	0.151654	cardinal	He married his first wife , Anne Child , in about 1677 in Ecton and emigrated with her to Boston in 1683 ; they had [three] children before emigrating and four after .
Q882	https://en.wikipedia.org/wiki?curid=5142	Charlie Chaplin	8	1	0.128795	article	Harris was by then legitimately pregnant , and on 7 July 1919 , gave birth to [a] son .
Q1744	https://en.wikipedia.org/wiki?curid=142056	Madonna (entertainer)	6	3	0.33528	cardinal	The plot of the film revolved around [three] friends and their aspirations .
Q5383	https://en.wikipedia.org/wiki?curid=8786	David Bowie	2	2	0.302606	numterm	In February and March 1969 , he undertook a short tour with Marc Bolan 's [duo] Tyrannosaurus Rex , as third on the bill , performing a mime act .
Q36107	https://en.wikipedia.org/wiki?curid=63747	Muhammad Ali	9	1	0.120484	cardinal	In 1975 , Ali began an affair with Veronica Porché , [an] actress and model .
Q7742	https://en.wikipedia.org/wiki?curid=18553	Louis_XIV_of_France	19	2	0.11767	cardinal	Based on the laws of primogeniture , France had the better claim as it originated from the eldest daughters in [two] generations .
Q8023	https://en.wikipedia.org/wiki?curid=21492751	Nelson Mandela	6	1	0.139255	cardinal	He was initially classified as the lowest grade of prisoner , Class D , meaning that he was permitted one visit and [one] letter every six months , although all mail was heavily censored .
Q517	https://en.wikipedia.org/wiki?curid=69880	Napoleon	5	1	0.155301	cardinal	The couple had [one] child , Napoleon Francis Joseph Charles -LRB- 1811 -- 1832 -RRB- , known from birth as the King of Rome .
Q40912	https://en.wikipedia.org/wiki?curid=11181	Frank Sinatra	3	3	0.104818	cardinal	Sinatra had [three] children , Nancy -LRB- born 1940 -RRB- , Frank Jr. -LRB- 1944 -- 2016 -RRB- , and Tina -LRB- born 1948 -RRB- , all with his first wife , Nancy Sinatra -LRB- née Barbato ; born September 11 , 1917 -RRB- -LRB- m. 1939 -- 1951 -RRB- .
Q9696	https://en.wikipedia.org/wiki?curid=5119376	John_F._Kennedy	4	1	0.252958	article	He increased the number of American military advisers in South Vietnam by [a] factor of 18 over President Dwight D. Eisenhower .
